Gene	Stage
KIAA1033	Chol
UFM1	Chol
NPNT	Chol
LRRFIP1	Chol
AK2P2	Chol
MET	Chol
HABP2	Chol
LOC100132425	Chol
KLHL29	Chol
PTGES3	Chol
ATMIN	Chol
ACSS2	Chol
ALDH1A1	Chol
TCN2	Chol
LOC100190938	Chol
TRPV6	Chol
GRIPAP1	Chol
LOC392285	Chol
ACSS2	Chol
SIL1	Chol
LOC401152	Chol
LOC390183	Chol
HSPA5	Chol
LOC644860	Chol
LOC100128288	Chol
MBP	Chol
PRRG4	Chol
CABC1	Chol
DPYSL2	Chol
LYSMD3	Chol
RGS10	Chol
DDX17	Chol
ZFHX3	Chol
RFK	Chol
KIAA0492	Chol
HECA	Chol
LGALS8	Chol
PCDHB19P	Chol
CLDN11	Chol
LOC647389	Chol
LOC653156	Chol
LOC730525	Chol
LOC732165	Chol
P4HTM	Chol
LOC648682	Chol
LOC100131905	Chol
GPX2	Chol
LOC649946	Chol
RBM3	Chol
HIST2H2AA3	Chol
KLF9	Chol
LOC730313	Chol
LOC731640	Chol
SLC44A4	Chol
LOC729255	Chol
SOX9	Chol
LOC729708	Chol
SLC15A3	Chol
BLVRB	Chol
TIMP1	Chol
LOC100132291	Chol
PSMC6	Chol
SUMO2	Chol
SCYL3	Chol
MBTD1	Chol
C14ORF85	Chol
SREBF1	Chol
LOC728484	Chol
LLPH	Chol
PNPT1	Chol
LOC441073	Chol
HMGB1L1	Chol
LOC388532	Chol
RAB33B	Chol
MAN2B2	Chol
ZC3H11B	Chol
LOC100129362	Chol
INSIG1	Chol
LOC389156	Chol
USP8	Chol
SFRS11	Chol
C20ORF108	Chol
C1ORF9	Chol
HIF1A	Chol
SLC22A18	Chol
LOC389156	Chol
PIGH	Chol
C1ORF59	Chol
HLA-A	Chol
FUCA1	Chol
MYC	Chol
ETS1	Chol
HIST2H2AA3	Chol
SMAD5	Chol
LOC100130154	Chol
HIST1H2BD	Chol
PHAX	Chol
LOC654350	Chol
RND3	Chol
ZNF394	Chol
LOC645979	Chol
C21ORF58	Chol
LOC346950	Chol
TMEM30A	Chol
METRNL	Chol
FNDC3A	Chol
HS.100261	Chol
NOTCH1	Chol
SFRS12	Chol
ROCK1	Chol
LOC642738	Chol
ALDH3A2	Chol
GJB6	Chol
LOC100131205	Chol
SPNS2	Chol
LAPTM4A	Chol
ANXA10	Chol
ANKRD57	Chol
IGFBP5	Chol
IL18	Chol
COL1A2	Chol
MED21	Chol
LOC100131526	Chol
STAT3	Chol
LOC100129681	Chol
CKLF	Chol
ANKRD37	Chol
SNAP23	Chol
C1ORF116	Chol
C14ORF153	Chol
SOX4	Chol
SEC24D	Chol
CCDC104	Chol
HS.291319	Chol
LOC100131261	Chol
PDE4C	Chol
P4HTM	Chol
RBP1	Chol
PIGX	Chol
AHCYL2	Chol
PPCS	Chol
LOC100129657	Chol
CLIC4	Chol
MYO3B	Chol
LOC730382	Chol
BRI3BP	Chol
SFN	Chol
FAM129B	Chol
KIAA0367	Chol
RBBP4	Chol
SHCBP1	Chol
LOC654096	Chol
FNDC3A	Chol
VPS26	Chol
TRIM8	Chol
HNRPH1	Chol
ILK	Chol
ABAT	Chol
KBTBD9	Chol
ALCAM	Chol
TFF1	Chol
PURA	Chol
KLF4	Chol
SLC2A1	Chol
ARL6IP5	Chol
RIN2	Chol
TIPARP	Chol
CASP6	Chol
CA4	Chol
LOC100129685	Chol
MAP3K6	Chol
FLJ20273	Chol
BCL11A	Chol
LOC100133233	Chol
CRIP2	Chol
CKLF	Chol
FKTN	Chol
LOC387934	Chol
SEC11C	Chol
ZNF430	Chol
GPR98	Chol
CREB1	Chol
LOC727984	Chol
PPP1R13B	Chol
NNT	Chol
LOC643007	Chol
RTN4	Chol
ALDH3A2	Chol
LOC729340	Chol
KIF12	Chol
SBDS	Chol
TBC1D9	Chol
FAT1	Chol
SP3	Chol
CYP2S1	Chol
LOC643949	Chol
CTNNB1	Chol
FAM108B1	Chol
TDP1	Chol
JMJD1A	Chol
CST3	Chol
C21ORF55	Chol
HIST2H2AA4	Chol
CEP57	Chol
LGALS8	Chol
TGFBR3	Chol
MPZL2	Chol
ITGA3	Chol
MYO5B	Chol
